jis_code	url	system_type
03322	https://www.town.yahaba.iwate.jp/contents/18reiki/reiki_menu.html	taikei
03366	https://en3-jg.d1-law.com/nishiwaga/d1w_reiki/reiki.html	d1-law
03381	https://www1.g-reiki.net/town.kanegasaki.iwate/reiki_menu.html	g-reiki
03402	https://www.town.hiraizumi.iwate.jp/reiki/reiki_menu.html	taikei
03441	https://en3-jg.d1-law.com/sumita/d1w_reiki/reiki.html	d1-law
03461	https://www.town.otsuchi.iwate.jp/gyosei/reiki_old/reiki_menu.html	taikei
03482	https://krc146.legal-square.com/HAS-Shohin/page/SJSrbLogin.jsf	legal-square
03483	https://www1.g-reiki.net/town.iwaizumi/reiki_menu.html	g-reiki
03484	https://www1.g-reiki.net/vill.tanohata.iwate/reiki_menu.html	g-reiki
03485	https://en3-jg.d1-law.com/fudai/d1w_reiki/reiki.html	d1-law
03501	https://ops-jg.d1-law.com/opensearch/SrMjF01/init?jctcd=8A7A11F707#	d1-law
03503	https://www1.g-reiki.net/vill.noda.iwate/reiki_menu.html	g-reiki
03506	http://www.vill.kunohe.iwate.jp/reiki_int/reiki_menu.html	taikei
03507	https://en3-jg.d1-law.com/hirono-iwate/d1w_reiki/reiki.html	d1-law
03524	https://ops-jg.d1-law.com/opensearch/SrMjF01/init?jctcd=8A7A11F7CA	d1-law
04000	https://kra700.legal-square.com/HAS-Shohin/page/SJSrbLogin.jsf	legal-square
04100	https://kra600.legal-square.com/HAS-Shohin/page/SJSrbLogin.jsf	legal-square
04202	https://ops-jg.d1-law.com/opensearch/SrMjF01/init?jctcd=8A7A20E9FC	d1-law
04203	https://www.city.shiogama.miyagi.jp/html/reiki_int/reiki_menu.html	taikei
04205	https://ops-jg.d1-law.com/opensearch/SrMjF01/init?jctcd=8A7A20E9FF	d1-law
04206	https://www.city.shiroishi.miyagi.jp/reiki/reiki_menu.html	taikei
04207	https://www.city.natori.miyagi.jp/reiki/reiki_int/reiki_menu.html	taikei
04208	https://en3-jg.d1-law.com/kakuda/d1w_reiki/reiki.html	d1-law
04209	https://krc210.legal-square.com/HAS-Shohin/page/SJSrbLogin.jsf	legal-square
04211	https://www.city.iwanuma.miyagi.jp/reiki_int/reiki_menu.html	taikei
04212	https://www.city.tome.miyagi.jp/reiki_int/reiki_menu.html	taikei
04213	https://krr173.legal-square.com/HAS-Shohin/page/SJSrbLogin.jsf	legal-square
04214	https://www.city.higashimatsushima.miyagi.jp/reiki/reiki_menu.html	taikei
04215	https://www.city.osaki.miyagi.jp/section/reiki/reiki_menu.html	taikei
04216	https://www.tomiya-city.miyagi.jp/shisei/reiki/reiki_menu.html	taikei
04301	https://www.town.zao.miyagi.jp/reiki_int/reiki_menu.html	taikei
04302	https://town.shichikashuku.miyagi.jp/town/gyosei/reiki_int/reiki_menu.html	taikei
04321	https://www.town.ogawara.miyagi.jp/reiki_int/reiki_menu.html	taikei
04322	http://www.town.murata.miyagi.jp/cyosei/on-line/reiki_int/reiki_menu.html	taikei
04323	https://www.town.shibata.miyagi.jp/reiki_int/reiki_menu.html	taikei
04324	http://reiki-miyagi-kawasaki.jp/reiki_int/reiki_menu.html	taikei
04341	http://www.town.marumori.miyagi.jp/reiki/reiki_menu.html	taikei
04361	http://www.town.watari.miyagi.jp/reiki_int/reiki_menu.html	taikei
04362	https://ops-jg.d1-law.com/opensearch/SrMjF01/init?jctcd=8A7A2113C4	d1-law
04401	http://www.town.miyagi-matsushima.lg.jp/reiki_int/reiki_taikei/taikei_default.html	taikei
04404	https://www.shichigahama.com/benricho/joho/reiki/reiki_menu.html	taikei
04406	https://www.town.rifu.miyagi.jp/section/reiki/reiki_int/reiki_menu.html	taikei
04421	https://www.town.taiwa.miyagi.jp/section/reiki_int/reiki_menu.html	taikei
04422	https://www1.g-reiki.net/osato/reiki_menu.html	g-reiki
04424	https://www1.g-reiki.net/village.ohira/reiki_menu.html	g-reiki
04444	https://public.joureikun.jp/shikama_town/reiki/	joureikun
04445	https://www.town.kami.miyagi.jp/section/reiki_int/reiki_menu.html	taikei
04501	https://www.town.wakuya.miyagi.jp/reiki/reiki_menu.html	taikei
